"V1" "V2" "V3"
"1" -1.81998646616233e-09 1.15575297620121e-09 5.61685404151922e-10
"2" 1.1500756738688e-09 -3.32418757055628e-09 5.66857293622153e-10
"3" 1.3330025286368e-09 -1.65765323866053e-09 3.73252621987496e-10
"4" 0.994958638069779 -1.0121280411213e-09 -0.994958638354164
"5" 4.89356302396463e-10 -1.35044236111211e-09 0.994958635517916
"6" -2.10428170076444e-09 0.994958638297374 -9.85145298283104e-11
"7" 0.000687475067143787 -1.01076898393696 -0.00555518398787689
"8" 0.996537744394859 0.000462267020971684 -0.000238399415857701
"9" 1.28806314867336e-09 7.26558703969514e-10 -3.48529994497534e-09
"10" 1.48567283192791e-09 -5.61954139584611e-10 -6.07985766170163e-10
"11" 1.0098125504439e-09 -1.61183624615269e-09 0.994958636590031
"12" 1.2955085919773e-09 -0.994958634562605 -1.55632674626777e-09
"13" -3.59715307114198e-10 -3.1650645054683e-10 0.994958635319372
"14" 8.6564258528818e-10 -1.54669239608347e-09 2.06624286755512e-09
"15" 0.994958635429584 -0.994958638497625 2.6841211352325e-10
"16" 0.994958636725139 2.32639080708039e-11 -3.44713650852545e-10
"17" 0.994958635350725 2.56539358748302e-10 -1.62069294231852e-09
"18" 0.994958635608085 -1.34004389283245e-09 4.23849174676977e-10
"19" 3.27446977591629e-09 0.994958637788646 -1.6189177144396e-09
"20" -0.0291921695002206 0.0016023424063698 1.02362433902393
"21" 0.994958638161446 3.42014943759676e-09 5.09145656829074e-10
"22" -2.07592078996316e-09 8.79679647934027e-10 2.60851278895782e-10
"23" 3.67976588625093e-10 5.38760753768689e-10 1.39362065266586e-09
"24" -1.47759977911049e-09 -3.72983750227831e-09 0.994958636996621
"25" 1.64124621837507e-09 -7.02210776917538e-10 0.994958636024661
"26" -1.68485713710054e-09 -0.994958638234674 -0.994958637127497
"27" 0.994958637200803 9.7025934190487e-10 0.994958636830971
"28" 1.31851300453162e-09 -0.994958637331494 1.22502686204053e-09
"29" -2.37790341477559e-10 -4.69828303193966e-10 3.57115882247618e-09
"30" 1.34358918904418e-09 -1.28263363427115e-09 4.82826774589228e-10
